Number,Student ID,Type,Pre/Post,Thinking
357,2200601,Research,Pre,Developing
359,2203404,Mixed,Post,Developing
360,2226569,Mixed,Post,Scientific
361,2227858,Mixed,Post,Scientific
362,2215568,Research,Post,Mixed
363,2220650,Mixed,Pre,Scientific
364,2220489,Mixed,Post,Mixed
365,2166853,Research,Pre,Mixed
366,2219211,Mixed,Post,Scientific
367,2223924,CC,Pre,Mixed
368,2215553,Research,Post,Mixed
369,2199903,Research,Post,Mixed
370,2123800,CC,Post,Mixed
371,2216386,Research,Pre,Developing
372,2200823,Research,Pre,Mixed
373,2223703,CC,Post,Mixed
374,2211728,Mixed,Pre,Developing
376,2223732,CC,Post,Developing
377,2219032,CC,Pre,Developing
378,2200416,Research,Pre,Mixed
379,2227858,Mixed,Pre,Developing
380,2200279,Research,Post,Developing
381,2226597,Mixed,Post,Developing
382,2222535,Research,Pre,Mixed
383,2209966,CC,Pre,Mixed
384,2200823,Research,Post,Mixed
386,2219808,CC,Post,Scientific
387,2215568,Research,Pre,Developing
388,2209839,CC,Post,Scientific
389,2228127,Research,Post,Scientific
390,2223299,CC,Pre,Mixed
391,2199840,Research,Post,Mixed
392,2227453,Mixed,Post,Mixed
393,2223284,CC,Post,Mixed
394,2214970,Research,Pre,Developing
395,2208933,CC,Post,Mixed
396,2210351,Mixed,Pre,Mixed
397,2211009,CC,Pre,Developing
398,2223061,Mixed,Pre,Developing
399,2210482,Mixed,Pre,Developing
400,2208507,Mixed,Post,Developing
401,2208507,Mixed,Pre,Developing
402,2216701,Mixed,Pre,Developing
403,2223301,CC,Pre,Developing
404,2206452,CC,Pre,Mixed
405,2223290,CC,Pre,Developing
406,2208423,Mixed,Post,Scientific
407,2210213,CC,Post,Developing
408,2200480,Research,Pre,Mixed
409,2216070,Research,Pre,Mixed
410,2223732,CC,Pre,Developing
411,2223923,CC,Pre,Developing
412,2220488,Mixed,Pre,Developing
413,2223286,CC,Post,Mixed
414,2207695,Mixed,Post,Scientific
415,2200421,Research,Post,Developing
416,2167131,Research,Pre,Mixed
417,2226409,Mixed,Post,Mixed
418,2220583,Mixed,Post,Scientific
419,2216421,Research,Pre,Developing
420,2223297,CC,Pre,Developing
421,2222799,Research,Post,Mixed
422,2226584,Mixed,Post,Developing
423,2215628,Mixed,Pre,Developing
424,2218924,CC,Pre,Developing
425,2209640,CC,Post,Developing
426,2208522,CC,Post,Mixed
427,2208522,CC,Pre,Mixed
428,2222805,Mixed,Pre,Developing
429,2206612,Mixed,Post,Mixed
430,2215644,Research,Post,Mixed
431,2227684,Mixed,Pre,Mixed
432,2219254,CC,Pre,Scientific
433,2219712,CC,Post,Mixed
434,2219712,CC,Pre,Mixed
435,2223841,CC,Post,Mixed
436,2210095,Mixed,Post,Mixed
437,2093596,Research,Pre,Developing
438,2215002,Mixed,Pre,Developing
439,2223301,CC,Post,Mixed
440,2223420,CC,Pre,Mixed
441,2219254,CC,Post,Mixed
443,2218924,CC,Post,Mixed
444,2207188,CC,Pre,Developing
